neighbourhood,neighbourhood_group,neighbourhood_id
Mariners Harbor,Staten Island,109
Concord,Staten Island,110
Borough Park,Brooklyn,111
Bayside,Queens,112
Downtown Brooklyn,Brooklyn,113
Port Morris,Bronx,114
Fieldston,Bronx,115
Kew Gardens,Queens,116
Midwood,Brooklyn,117
College Point,Queens,118
Mount Eden,Bronx,119
City Island,Bronx,120
Glendale,Queens,121
Port Richmond,Staten Island,122
Red Hook,Brooklyn,123
Richmond Hill,Queens,124
Bellerose,Queens,125
Maspeth,Queens,126
Williamsbridge,Bronx,127
Soundview,Bronx,128
Woodhaven,Queens,129
Woodrow,Staten Island,130
Co-op City,Bronx,131
Stuyvesant Town,Manhattan,132
Parkchester,Bronx,133
North Riverdale,Bronx,134
Dyker Heights,Brooklyn,135
Bronxdale,Bronx,136
Sea Gate,Brooklyn,137
Riverdale,Bronx,138
Kew Gardens Hills,Queens,139
Bay Terrace,Queens,140
Norwood,Bronx,141
Claremont Village,Bronx,142
Whitestone,Queens,143
Fordham,Bronx,144
Bayswater,Queens,145
Navy Yard,Brooklyn,146
Brownsville,Brooklyn,147
Eltingville,Staten Island,148
Fresh Meadows,Queens,149
Mount Hope,Bronx,150
Lighthouse Hill,Staten Island,151
Springfield Gardens,Queens,152
Howard Beach,Queens,153
Belle Harbor,Queens,154
Jamaica Estates,Queens,155
Van Nest,Bronx,156
Morris Park,Bronx,157
West Brighton,Staten Island,158
Far Rockaway,Queens,159
South Ozone Park,Queens,160
Tremont,Bronx,161
Corona,Queens,162
Great Kills,Staten Island,163
Manhattan Beach,Brooklyn,164
Marble Hill,Manhattan,165
Dongan Hills,Staten Island,166
Castleton Corners,Staten Island,167
East Morrisania,Bronx,168
Hunts Point,Bronx,169
Neponsit,Queens,170
Pelham Bay,Bronx,171
Randall Manor,Staten Island,172
Throgs Neck,Bronx,173
Todt Hill,Staten Island,174
West Farms,Bronx,175
Silver Lake,Staten Island,176
Morrisania,Bronx,177
Laurelton,Queens,178
Grymes Hill,Staten Island,179
Holliswood,Queens,180
Pelham Gardens,Bronx,181
Belmont,Bronx,182
Rosedale,Queens,183
Edgemere,Queens,184
New Brighton,Staten Island,185
Midland Beach,Staten Island,186
Baychester,Bronx,187
Melrose,Bronx,188
Bergen Beach,Brooklyn,189
Richmondtown,Staten Island,190
Howland Hook,Staten Island,191
Schuylerville,Bronx,192
Coney Island,Brooklyn,193
New Dorp Beach,Staten Island,194
Prince's Bay,Staten Island,195
South Beach,Staten Island,196
Bath Beach,Brooklyn,197
Jamaica Hills,Queens,198
Oakwood,Staten Island,199
Castle Hill,Bronx,200
Hollis,Queens,201
Douglaston,Queens,202
Huguenot,Staten Island,203
Olinville,Bronx,204
Edenwald,Bronx,205
Grant City,Staten Island,206
Westerleigh,Staten Island,207
"Bay Terrace, Staten Island",Staten Island,208
Westchester Square,Bronx,209
Little Neck,Queens,210
Fort Wadsworth,Staten Island,211
Rosebank,Staten Island,212
Unionport,Bronx,213
Mill Basin,Brooklyn,214
Arden Heights,Staten Island,215
Bull's Head,Staten Island,216
New Dorp,Staten Island,217
Rossville,Staten Island,218
Breezy Point,Queens,219
Willowbrook,Staten Island,220
